Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore
62,7501,R0,2,1,2139035,1 LIBERTY PLAZA,MANHATTAN,1000627501,78,B
64,9,O2,4,1,30681,59 LIBERTY STREET,MANHATTAN,1000640009,29,D
65,7,O4,4,1,124910,15 MAIDEN LANE,MANHATTAN,1000650007,88,A
65,10,D5,2,1,58354,9 MAIDEN LANE,MANHATTAN,1000650010,2,D
65,24,H1,4,1,50616,24 JOHN STREET,MANHATTAN,1000650024,42,D
69,6,D8,2,1,222001,211 PEARL STREET,MANHATTAN,1000690006,42,D
69,32,D7,2,1,338463,116 JOHN STREET,MANHATTAN,1000690032,78,B
70,43,O4,4,1,481858,160 WATER STREET,MANHATTAN,1000700043,62,C
71,1,D7,2,1,52969,156 FRONT STREET,MANHATTAN,1000710001,17,D
75,21,O4,4,1,234553,40 FULTON STREET,MANHATTAN,1000750021,69,C
77,1,D7,2,1,160000,85 JOHN STREET,MANHATTAN,1000770001,36,D
77,8,O4,4,1,788241,110 WILLIAM STREET,MANHATTAN,1000770008,68,C
77,24,D7,2,1,159000,82 FULTON STREET,MANHATTAN,1000770024,2,D
78,1,D7,2,1,76988,135 WILLIAM STREET,MANHATTAN,1000780001,93,A
78,7508,R0,2,1,81199,45 JOHN STREET,MANHATTAN,1000787508,81,B
79,7502,R0,2,1,71246,130 FULTON STREET,MANHATTAN,1000797502,55,C
88,10,O6,4,1,71959,30 VESEY STREET,MANHATTAN,1000880010,91,A
90,7503,R0,2,2,313980,5 BEEKMAN STREET,MANHATTAN,1000907503,1,D
93,1,O4,4,1,463679,81 FULTON STREET,MANHATTAN,1000930001,75,B
95,27,D3,2,1,208576,49 FULTON STREET,MANHATTAN,1000950027,52,D
96,5,K4,0,12,80000,23 FULTON STREET,MANHATTAN,1000960005,0,F
8,39,H3,4,1,46724,32 PEARL STREET,MANHATTAN,1000080039,0,F
8,51,H2,4,1,102407,6 WATER STREET,MANHATTAN,1000080051,25,D
10,14,O4,4,1,365792,33 WHITEHALL STREET,MANHATTAN,1000100014,60,C
10,33,H2,4,1,143731,8 STONE STREET,MANHATTAN,1000100033,42,D
11,21,O4,4,1,361710,80 BROAD STREET,MANHATTAN,1000110021,72,B
15,22,D8,2,1,335746,21 WEST STREET,MANHATTAN,1000150022,23,D
15,7501,R0,2,2,1402831,17 BATTERY PLACE,MANHATTAN,1000157501,84,B
16,15,D8,2,1,239165,50 BATTERY PLACE,MANHATTAN,1000160015,79,B
16,20,D8,2,1,230765,70 BATTERY PLACE,MANHATTAN,1000160020,60,C
16,125,O4,4,2,2267925,225 LIBERTY STREET,MANHATTAN,1000160125,75,B
16,150,O4,4,1,2084079,250 VESEY STREET,MANHATTAN,1000160150,77,B
16,180,D8,2,1,356786,20 RIVER TERRACE,MANHATTAN,1000160180,39,D
16,185,D8,2,1,283905,211 NORTH END AVENUE,MANHATTAN,1000160185,20,D
16,215,W1,0,1,450000,301 CHAMBERS STREET,MANHATTAN,1000160215,36,D
16,221,D8,2,1,244617,450 NORTH END AVENUE,MANHATTAN,1000160221,15,D
16,225,O6,4,1,502000,1 NORTH END AVENUE,MANHATTAN,1000160225,82,B
16,7503,R0,2,1,106052,250 SOUTH END AVENUE,MANHATTAN,1000167503,37,D
16,7505,R0,2,1,257092,380 RECTOR PLACE,MANHATTAN,1000167505,28,D
16,7507,R0,2,1,129176,300 RECTOR PLACE,MANHATTAN,1000167507,76,B
16,7508,R0,2,1,590974,200 RECTOR PLACE,MANHATTAN,1000167508,43,D
16,7509,R0,2,1,237270,21 SOUTH END AVENUE,MANHATTAN,1000167509,20,D
16,7510,R0,2,1,305973,99 BATTERY PLACE,MANHATTAN,1000167510,42,D
16,7511,R0,2,1,189273,2 SOUTH END AVENUE,MANHATTAN,1000167511,21,D
16,7513,R0,2,1,562340,25 BATTERY PLACE,MANHATTAN,1000167513,30,D
16,7514,R0,2,1,422304,30 WEST STREET,MANHATTAN,1000167514,21,D
16,7515,R0,2,1,287819,225 RECTOR PLACE,MANHATTAN,1000167515,77,B
16,7516,R0,2,1,531665,1 RIVER TERRACE,MANHATTAN,1000167516,30,D
16,7517,R0,2,1,508458,71 BATTERY PLACE,MANHATTAN,1000167517,5,D
16,7521,R0,2,1,335784,212 WARREN STREET,MANHATTAN,1000167521,75,B
20,1,O4,4,1,316150,29 BROADWAY,MANHATTAN,1000200001,79,B
20,4,O4,4,1,447452,39 BROADWAY,MANHATTAN,1000200004,78,B
20,9,O4,4,1,368315,45 BROADWAY,MANHATTAN,1000200009,63,C
20,12,K4,4,1,27640,47 BROADWAY,MANHATTAN,1000200012,0,F
21,4,O4,4,1,335184,65 BROADWAY,MANHATTAN,1000210004,71,B
22,17,O6,4,1,143000,32 BROADWAY,MANHATTAN,1000220017,21,D
22,20,O4,4,1,389927,42 BROADWAY,MANHATTAN,1000220020,70,B
25,1,O4,4,1,406025,55 BROAD STREET,MANHATTAN,1000250001,53,D
25,7501,R0,2,1,530168,15 WILLIAM STREET,MANHATTAN,1000257501,57,C
29,7503,R0,2,1,25483,21 SOUTH WILLIAM STREET,MANHATTAN,1000297503,1,D
31,7501,R0,2,1,683289,75 WALL STREET,MANHATTAN,1000317501,31,D
35,1,O4,4,1,973587,77 FRONT STREET,MANHATTAN,1000350001,44,D
37,8,H9,4,1,267570,110 WALL STREET,MANHATTAN,1000370008,19,D
37,23,O4,4,1,1079361,180 MAIDEN LANE,MANHATTAN,1000370023,78,B
42,31,O4,4,1,527605,80 MAIDEN LANE,MANHATTAN,1000420031,89,A
43,2,O4,4,1,1061286,40 WALL STREET,MANHATTAN,1000430002,81,B
46,3,O4,4,1,364390,100 BROADWAY,MANHATTAN,1000460003,75,B
48,1,O4,4,1,1141276,140 BROADWAY,MANHATTAN,1000480001,65,C
51,13,O3,4,1,181725,86 TRINITY PLACE,MANHATTAN,1000510013,100,A
53,33,D8,2,1,57941,110 GREENWICH STREET,MANHATTAN,1000530033,23,D
53,7501,R0,2,1,66872,120 GREENWICH STREET,MANHATTAN,1000537501,21,D
53,7502,R0,2,1,396477,123 WASHINGTON STREET,MANHATTAN,1000537502,49,D
55,14,D8,2,1,258071,71 WEST STREET,MANHATTAN,1000550014,35,D
63,3,O4,4,1,647875,22 CORTLANDT STREET,MANHATTAN,1000630003,47,D
63,6,K3,4,1,49109,21 DEY STREET,MANHATTAN,1000630006,1,D
64,12,O4,4,1,279669,150 BROADWAY,MANHATTAN,1000640012,78,B
64,15,O6,4,3,150000,160 BROADWAY,MANHATTAN,1000640015,70,B
67,1,O4,4,1,1073000,59 MAIDEN LANE,MANHATTAN,1000670001,81,B
67,23,O4,4,1,558327,56 NASSAU STREET,MANHATTAN,1000670023,70,B
68,28,HB,4,1,71539,15 GOLD STREET,MANHATTAN,1000680028,30,D
68,36,O4,4,1,377120,100 WILLIAM STREET,MANHATTAN,1000680036,18,D
69,18,D8,2,1,627300,2 GOLD STREET,MANHATTAN,1000690018,88,A
69,7502,R0,2,1,372364,90 JOHN STREET,MANHATTAN,1000697502,17,D
73,8,T2,0,3,35691,1 PIER 16,MANHATTAN,1000730008,0,F
76,1,O6,4,1,40564,64 FULTON STREET,MANHATTAN,1000760001,10,D
5,10,O4,4,1,1016406,115 BROAD STREET,MANHATTAN,1000050010,75,B
9,14,O4,4,1,544015,17 STATE STREET,MANHATTAN,1000090014,73,B
13,27,O4,4,1,809401,25 BROADWAY,MANHATTAN,1000130027,61,C
16,100,D6,2,6,1881621,345 SOUTH END AVENUE,MANHATTAN,1000160100,62,C
16,210,D8,2,1,357000,399 CHAMBERS STREET,MANHATTAN,1000160210,71,B
16,220,W1,0,1,105177,201 WARREN STREET,MANHATTAN,1000160220,42,D
16,7512,R0,2,1,641681,102 NORTH END AVENUE,MANHATTAN,1000167512,4,D
16,7522,R0,2,2,360656,400 CHAMBERS STREET,MANHATTAN,1000167522,40,D
26,7501,R0,2,1,944252,15 BROAD STREET,MANHATTAN,1000267501,9,D
28,7501,R0,2,1,108373,82 BEAVER STREET,MANHATTAN,1000287501,5,D
29,73,O3,0,1,97596,38 BEAVER STREET,MANHATTAN,1000290073,36,D
29,7501,RM,0,3,61238,48 BEAVER STREET,MANHATTAN,1000297501,8,D
30,5,K4,4,1,85472,46 WATER STREET,MANHATTAN,1000300005,0,F
33,11,D5,2,1,473460,95 WALL STREET,MANHATTAN,1000330011,16,D
39,12,O4,4,1,1104184,110 MAIDEN LANE,MANHATTAN,1000390012,51,D
39,7501,R0,2,1,117641,164 PEARL STREET,MANHATTAN,1000397501,2,D
40,14,O4,4,1,281755,48 WALL STREET,MANHATTAN,1000400014,75,B
41,15,H5,4,1,49197,60 PINE STREET,MANHATTAN,1000410015,0,F
41,7504,R0,2,1,975719,66 PINE STREET,MANHATTAN,1000417504,1,D
42,36,O5,4,1,33529,90 MAIDEN LANE,MANHATTAN,1000420036,85,A
49,2,O4,4,1,432093,111 BROADWAY,MANHATTAN,1000490002,63,C
52,21,D7,2,1,57945,120 LIBERTY STREET,MANHATTAN,1000520021,65,C
64,8,D4,2,1,167448,53 LIBERTY STREET,MANHATTAN,1000640008,22,D
64,7502,R0,2,1,167280,170 BROADWAY,MANHATTAN,1000647502,63,C
65,6,D6,2,1,37800,21 MAIDEN LANE,MANHATTAN,1000650006,2,D
65,17,D4,2,1,168176,176 BROADWAY,MANHATTAN,1000650017,51,D
65,7501,R0,2,1,32342,65 NASSAU STREET,MANHATTAN,1000657501,2,D
66,1,O3,4,1,640000,19 LIBERTY STREET,MANHATTAN,1000660001,36,D
68,7,O6,4,1,155450,83 MAIDEN LANE,MANHATTAN,1000680007,46,D
68,11,O6,4,1,155026,75 MAIDEN LANE,MANHATTAN,1000680011,71,B
68,16,HS,4,1,122959,84 WILLIAM STREET,MANHATTAN,1000680016,8,D
69,30,H2,4,1,114226,4 PLATT STREET,MANHATTAN,1000690030,30,D
72,7,H2,4,1,139891,151 MAIDEN LANE,MANHATTAN,1000720007,0,F
72,12,H2,4,1,70044,161 FRONT STREET,MANHATTAN,1000720012,28,D
72,13,E9,4,1,58500,163 FRONT STREET,MANHATTAN,1000720013,0,F
72,27,D2,2,1,52005,85 SOUTH STREET,MANHATTAN,1000720027,100,A
72,31,O2,4,1,43818,80 SOUTH STREET,MANHATTAN,1000720031,0,F
78,7507,R0,2,1,97798,111 WILLIAM STREET,MANHATTAN,1000787507,1,D
79,10,HS,4,1,111423,17 JOHN STREET,MANHATTAN,1000790010,82,B
84,7501,R0,2,1,967206,140 WEST STREET,MANHATTAN,1000847501,0,F
88,14,D8,2,1,531000,10 BARCLAY STREET,MANHATTAN,1000880014,9,D
88,18,O4,4,1,480831,225 BROADWAY,MANHATTAN,1000880018,78,B
89,1,O6,4,1,100000,99 NASSAU STREET,MANHATTAN,1000890001,80,B
91,7502,R0,2,1,221213,111 FULTON STREET,MANHATTAN,1000917502,11,D
93,34,D9,2,1,79079,57 BEEKMAN STREET,MANHATTAN,1000930034,100,A
88,1,O6,4,1,133198,217 BROADWAY,MANHATTAN,1000880001,0,F
88,2,O7,4,1,30000,14 VESEY STREET,MANHATTAN,1000880002,72,B
88,5,O6,4,1,80298,20 VESEY STREET,MANHATTAN,1000880005,71,B
92,24,O3,4,2,109173,116 NASSAU STREET,MANHATTAN,1000920024,86,A
92,32,O5,4,1,25039,19 BEEKMAN STREET,MANHATTAN,1000920032,58,C
96,1,K6,0,1,128123,1 FULTON STREET,MANHATTAN,1000960001,0,F
107,38,HB,4,1,39747,29 PECK SLIP,MANHATTAN,1001070038,11,D
111,100,D6,2,12,1264820,20 MADISON STREET,MANHATTAN,1001110100,0,F
100,26,D4,2,1,79422,138 NASSAU STREET,MANHATTAN,1001000026,49,D
100,7501,R0,2,1,194294,150 NASSAU STREET,MANHATTAN,1001007501,1,D
100,7502,RM,0,1,900766,8 SPRUCE STREET,MANHATTAN,1001007502,36,D
106,7504,R0,2,1,40203,264 WATER STREET,MANHATTAN,1001067504,14,D
123,7501,R0,2,1,1008544,233 BROADWAY,MANHATTAN,1001237501,83,B
124,24,O4,4,1,541195,250 BROADWAY,MANHATTAN,1001240024,74,B
132,7501,R0,2,2,274175,275 GREENWICH STREET,MANHATTAN,1001327501,9,D
78,4,O4,4,1,493039,123 WILLIAM STREET,MANHATTAN,1000780004,81,B
