Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore
1248,22,D4,2,1,100137,313 WEST 86 STREET,MANHATTAN,1012480022,82,B
1248,29,D4,2,1,141426,545 WEST END AVENUE,MANHATTAN,1012480029,84,B
764,42,D6,0,1,109669,200 WEST 15 STREET,MANHATTAN,1007640042,27,D
1248,49,D4,2,1,44876,334 WEST 87 STREET,MANHATTAN,1012480049,44,D
1248,51,D3,2,1,29303,340 WEST 87 STREET,MANHATTAN,1012480051,66,C
606,49,W1,0,1,81947,100 WEST 11 STREET,MANHATTAN,1006060049,86,A
1249,57,D3,2,1,87129,155 RIVERSIDE DRIVE,MANHATTAN,1012490057,64,C
766,71,D1,2,1,25362,248 WEST 17 STREET,MANHATTAN,1007660071,60,C
607,38,D4,2,1,62772,475 AVENUE OF THE AMERICAS,MANHATTAN,1006070038,23,D
768,59,D9,2,1,157364,238 WEST 19 STREET,MANHATTAN,1007680059,73,B
1250,6,D4,2,1,84026,345 WEST 88 STREET,MANHATTAN,1012500006,26,D
573,75,D4,2,1,56527,61 WEST 9 STREET,MANHATTAN,1005730075,71,B
607,7503,R0,2,10,728292,133 WEST 11 STREET,MANHATTAN,1006077503,6,D
608,53,D4,2,1,31128,125 WEST 12 STREET,MANHATTAN,1006080053,51,D
1250,91,D4,2,1,47354,601 WEST END AVENUE,MANHATTAN,1012500091,77,B
608,7501,R0,2,1,186887,175 WEST 12 STREET,MANHATTAN,1006087501,51,D
771,14,C1,0,3,41100,239 WEST 21 STREET,MANHATTAN,1007710014,85,A
1250,94,D4,2,1,73987,607 WEST END AVENUE,MANHATTAN,1012500094,71,B
608,74,D4,2,1,31750,169 WEST 12 STREET,MANHATTAN,1006080074,100,A
1251,8,D4,2,1,46800,321 WEST 90 STREET,MANHATTAN,1012510008,62,C
609,7,O6,4,1,140044,154 WEST 14 STREET,MANHATTAN,1006090007,58,C
609,20,W9,4,1,47196,132 WEST 14 STREET,MANHATTAN,1006090020,0,F
1251,71,D4,2,1,78725,194 RIVERSIDE DRIVE,MANHATTAN,1012510071,86,A
609,1,D4,2,1,137882,41 7 AVENUE,MANHATTAN,1006090001,75,B
1252,1,D3,2,1,63794,200 RIVERSIDE DRIVE,MANHATTAN,1012520001,73,B
1252,24,D1,2,1,25890,308 WEST 93 STREET,MANHATTAN,1012520024,2,D
1252,29,D1,2,1,31614,316 WEST 93 STREET,MANHATTAN,1012520029,50,D
609,47,D4,2,1,94144,509 AVENUE OF THE AMERICAS,MANHATTAN,1006090047,100,A
1253,4,D4,2,1,25270,224 RIVERSIDE DRIVE,MANHATTAN,1012530004,91,A
1253,45,D1,2,1,41000,336 WEST 95 STREET,MANHATTAN,1012530045,81,B
1253,48,D3,2,1,48178,227 RIVERSIDE DRIVE,MANHATTAN,1012530048,13,D
576,7501,R0,2,1,82017,60 WEST 13 STREET,MANHATTAN,1005767501,70,B
773,12,D4,2,2,159090,255 WEST 23 STREET,MANHATTAN,1007730012,42,D
1253,64,D1,2,1,31360,311 WEST 95 STREET,MANHATTAN,1012530064,0,F
577,24,D4,2,1,151500,22 WEST 14 STREET,MANHATTAN,1005770024,93,A
774,8,N2,4,1,59250,253 WEST 24 STREET,MANHATTAN,1007740008,99,A
1258,21,O4,4,1,949976,11 WEST 42 STREET,MANHATTAN,1012580021,44,D
1258,42,M9,4,1,72568,4 WEST 43 STREET,MANHATTAN,1012580042,83,B
577,7501,R0,2,1,38484,72 5 AVENUE,MANHATTAN,1005777501,0,F
774,7501,R0,2,1,628697,252 7 AVENUE,MANHATTAN,1007747501,28,D
1259,11,HB,0,1,103750,44 WEST 44 STREET,MANHATTAN,1012590011,20,D
1259,48,P8,4,1,70280,20 WEST 44 STREET,MANHATTAN,1012590048,72,B
610,60,D6,0,1,102354,1 CHRISTOPHER STREET,MANHATTAN,1006100060,57,C
775,9,D1,2,1,39698,245 WEST 25 STREET,MANHATTAN,1007750009,10,D
775,17,D1,2,1,50029,231 WEST 25 STREET,MANHATTAN,1007750017,86,A
775,44,D8,2,1,264000,200 WEST 26 STREET,MANHATTAN,1007750044,46,D
776,65,D0,2,1,66636,250 WEST 27 STREET,MANHATTAN,1007760065,96,A
611,27,D5,2,1,25075,190 WAVERLY PLACE,MANHATTAN,1006110027,73,B
1263,24,O6,0,1,120790,13 WEST 47 STREET,MANHATTAN,1012630024,70,B
778,34,O5,4,1,57414,207 WEST 28 STREET,MANHATTAN,1007780034,97,A
1268,1,O4,4,1,817095,51 WEST 52 STREET,MANHATTAN,1012680001,55,C
611,65,D4,2,1,142941,23 GREENWICH AVENUE,MANHATTAN,1006110065,66,C
612,33,D3,2,1,27108,29 CHARLES STREET,MANHATTAN,1006120033,78,B
778,57,H3,0,1,71541,232 WEST 29 STREET,MANHATTAN,1007780057,71,B
779,63,O6,4,1,64414,236 WEST 30 STREET,MANHATTAN,1007790063,89,A
780,36,O6,4,1,332383,370 7 AVENUE,MANHATTAN,1007800036,60,C
780,7501,R0,2,1,32500,406 8 AVENUE,MANHATTAN,1007807501,1,D
1272,1,D6,2,1,303642,60 WEST 57 STREET,MANHATTAN,1012720001,4,D
783,70,O4,4,4,2689635,250 WEST 34 STREET,MANHATTAN,1007830070,62,C
1272,63,O4,4,1,712000,38 WEST 57 STREET,MANHATTAN,1012720063,59,C
784,19,O4,4,1,461386,225 WEST 34 STREET,MANHATTAN,1007840019,74,B
1272,7503,R0,2,1,346858,730 5 AVENUE,MANHATTAN,1012727503,93,A
1273,1,O6,4,1,143914,1400 AVENUE OF THE AMERICAS,MANHATTAN,1012730001,45,D
784,68,O6,4,1,133948,248 WEST 35 STREET,MANHATTAN,1007840068,0,F
612,7504,R0,2,1,105590,15 CHARLES STREET,MANHATTAN,1006127504,1,D
785,37,O4,4,1,189734,462 7 AVENUE,MANHATTAN,1007850037,60,C
785,41,O6,4,1,84575,470 7 AVENUE,MANHATTAN,1007850041,53,D
1273,22,O4,4,1,1698259,9 WEST 57 STREET,MANHATTAN,1012730022,68,C
785,73,O6,4,1,35000,256 WEST 36 STREET,MANHATTAN,1007850073,73,B
785,75,O6,4,1,81375,260 WEST 36 STREET,MANHATTAN,1007850075,73,B
1274,11,H1,4,1,442000,34 CENTRAL PARK SOUTH,MANHATTAN,1012740011,37,D
787,1,O4,4,1,225858,540 8 AVENUE,MANHATTAN,1007870001,77,B
787,11,O6,4,1,214130,247 WEST 37 STREET,MANHATTAN,1007870011,84,B
787,20,O6,4,1,87802,241 WEST 37 STREET,MANHATTAN,1007870020,88,A
1274,7504,R0,2,1,777983,768 5 AVENUE,MANHATTAN,1012747504,1,D
1275,50,O4,4,1,301128,295 MADISON AVENUE,MANHATTAN,1012750050,82,B
787,25,O6,4,1,163103,225 WEST 37 STREET,MANHATTAN,1007870025,90,A
787,76,O6,4,1,95491,262 WEST 38 STREET,MANHATTAN,1007870076,94,A
787,84,F9,4,1,255696,554 8 AVENUE,MANHATTAN,1007870084,92,A
788,16,F9,4,1,78325,257 WEST 38 STREET,MANHATTAN,1007880016,2,D
1275,61,O4,4,1,92949,18 EAST 41 STREET,MANHATTAN,1012750061,78,B
1276,1,H1,4,1,190357,479 5 AVENUE,MANHATTAN,1012760001,40,D
788,64,O6,4,1,59488,230 WEST 39 STREET,MANHATTAN,1007880064,87,A
788,7501,R0,2,2,189104,214 WEST 39 STREET,MANHATTAN,1007887501,75,B
789,14,O6,4,1,108025,251 WEST 39 STREET,MANHATTAN,1007890014,91,A
1276,42,O4,4,1,1150564,60 EAST 42 STREET,MANHATTAN,1012760042,76,B
1279,28,P9,0,1,174895,50 VANDERBILT AVENUE,MANHATTAN,1012790028,1,D
789,21,O6,4,1,218558,231 WEST 39 STREET,MANHATTAN,1007890021,90,A
789,27,O6,4,1,88100,225 WEST 39 STREET,MANHATTAN,1007890027,82,B
789,30,O6,4,1,229162,205 WEST 39 STREET,MANHATTAN,1007890030,64,C
789,52,O6,4,1,146486,218 WEST 40 STREET,MANHATTAN,1007890052,70,B
1281,1,O4,4,1,427158,547 5 AVENUE,MANHATTAN,1012810001,45,D
1284,2,O6,4,1,52727,597 5 AVENUE,MANHATTAN,1012840002,33,D
584,7501,R0,2,2,134774,442 HUDSON STREET,MANHATTAN,1005847501,41,D
1286,21,H1,4,1,832240,455 MADISON AVENUE,MANHATTAN,1012860021,12,D
1286,35,O4,0,1,656436,320 PARK AVENUE,MANHATTAN,1012860035,75,B
791,62,D4,2,1,32384,130 WEST 16 STREET,MANHATTAN,1007910062,41,D
1288,11,H1,4,1,230654,500 MADISON AVENUE,MANHATTAN,1012880011,68,C
1288,24,O6,4,1,41837,49 EAST 52 STREET,MANHATTAN,1012880024,55,C
1288,69,O6,4,1,122596,665 5 AVENUE,MANHATTAN,1012880069,16,D
1289,45,H1,4,1,65452,56 EAST 54 STREET,MANHATTAN,1012890045,18,D
1290,36,O4,4,1,214392,400 PARK AVENUE,MANHATTAN,1012900036,68,C
1291,10,O4,4,1,685125,550 MADISON AVENUE,MANHATTAN,1012910010,89,A
794,17,O5,4,1,52500,135 WEST 18 STREET,MANHATTAN,1007940017,58,C
795,1,D6,2,1,274659,180 WEST 20 STREET,MANHATTAN,1007950001,20,D
1291,51,O4,4,1,369787,555 MADISON AVENUE,MANHATTAN,1012910051,61,C
1292,15,O4,4,1,999646,590 MADISON AVENUE,MANHATTAN,1012920015,61,C
1293,35,O4,4,1,254185,460 PARK AVENUE,MANHATTAN,1012930035,60,C
1294,7501,R0,2,1,245468,500 PARK AVENUE,MANHATTAN,1012947501,1,D
1295,1,O4,4,1,1088389,101 PARK AVENUE,MANHATTAN,1012950001,58,C
796,18,K4,4,1,33150,135 WEST 20 STREET,MANHATTAN,1007960018,47,D
796,7501,R0,2,1,39021,179 7 AVENUE,MANHATTAN,1007967501,2,D
1295,23,O4,4,1,225000,355 LEXINGTON AVENUE,MANHATTAN,1012950023,80,B
1295,33,O4,4,3,986431,622 3 AVENUE,MANHATTAN,1012950033,45,D
798,41,K4,4,1,170000,695 AVENUE OF THE AMERICAS,MANHATTAN,1007980041,49,D
798,71,D4,2,1,127000,148 WEST 23 STREET,MANHATTAN,1007980071,80,B
1296,14,O4,4,1,862071,374 LEXINGTON AVENUE,MANHATTAN,1012960014,72,B
1299,33,O4,4,1,359326,708 3 AVENUE,MANHATTAN,1012990033,77,B
798,7502,R0,2,1,124597,215 7 AVENUE,MANHATTAN,1007987502,8,D
1299,41,O3,0,1,32540,150 EAST 45 STREET,MANHATTAN,1012990041,43,D
1299,48,D6,2,1,72000,132 EAST 45 STREET,MANHATTAN,1012990048,38,D
799,35,D4,2,1,94835,101 WEST 23 STREET,MANHATTAN,1007990035,50,D
1302,51,H1,4,1,314568,509 LEXINGTON AVENUE,MANHATTAN,1013020051,20,D
1304,41,HB,4,1,119465,150 EAST 50 STREET,MANHATTAN,1013040041,72,B
1305,1,M1,4,1,66705,321 PARK AVENUE,MANHATTAN,1013050001,9,D
616,1,D4,2,1,91500,42 8 AVENUE,MANHATTAN,1006160001,75,B
800,33,K4,4,1,42670,109 WEST 24 STREET,MANHATTAN,1008000033,0,F
800,71,H3,4,1,55916,160 WEST 25 STREET,MANHATTAN,1008000071,0,F
1305,13,O4,4,1,345743,560 LEXINGTON AVENUE,MANHATTAN,1013050013,78,B
800,74,O6,4,1,44748,164 WEST 25 STREET,MANHATTAN,1008000074,0,F
1308,33,O6,4,1,140400,880 3 AVENUE,MANHATTAN,1013080033,83,B
801,49,D5,2,1,26027,110 WEST 26 STREET,MANHATTAN,1008010049,78,B
801,55,O6,4,1,75888,122 WEST 26 STREET,MANHATTAN,1008010055,76,B
801,65,D0,2,1,52543,142 WEST 26 STREET,MANHATTAN,1008010065,85,A
801,7501,R0,2,1,80850,137 WEST 25 STREET,MANHATTAN,1008017501,76,B
801,7502,R0,2,1,53439,150 WEST 26 STREET,MANHATTAN,1008017502,68,C
616,7501,R0,2,1,219011,2 HORATIO STREET,MANHATTAN,1006167501,77,B
802,50,O6,4,1,25200,112 WEST 27 STREET,MANHATTAN,1008020050,73,B
1309,69,D4,2,1,89651,417 PARK AVENUE,MANHATTAN,1013090069,82,B
617,21,D6,2,1,43280,221 WEST 12 STREET,MANHATTAN,1006170021,10,D
802,56,O6,4,1,117291,122 WEST 27 STREET,MANHATTAN,1008020056,81,B
802,61,H2,4,1,147220,132 WEST 27 STREET,MANHATTAN,1008020061,46,D
803,16,O6,4,1,54000,135 WEST 27 STREET,MANHATTAN,1008030016,55,C
618,44,C1,2,1,27075,209 WEST 13 STREET,MANHATTAN,1006180044,93,A
617,36,D7,2,1,26377,234 WEST 13 STREET,MANHATTAN,1006170036,6,D
803,67,O6,4,1,123557,150 WEST 28 STREET,MANHATTAN,1008030067,86,A
1310,59,D4,2,1,197972,136 EAST 56 STREET,MANHATTAN,1013100059,6,D
1311,1,O4,4,1,329507,445 PARK AVENUE,MANHATTAN,1013110001,58,C
618,7504,R0,2,1,72718,122 GREENWICH AVENUE,MANHATTAN,1006187504,1,D
803,7502,R0,2,1,163650,301 7 AVENUE,MANHATTAN,1008037502,82,B
1312,23,K4,4,1,26280,703 LEXINGTON AVENUE,MANHATTAN,1013120023,30,D
618,28,D7,2,1,32000,204 WEST 14 STREET,MANHATTAN,1006180028,5,D
805,82,Y2,0,1,36702,134 WEST 30 STREET,MANHATTAN,1008050082,51,D
1312,69,D4,2,1,122801,475 PARK AVENUE,MANHATTAN,1013120069,48,D
806,7502,R0,2,1,532903,855 AVENUE OF THE AMERICAS,MANHATTAN,1008067502,48,D
807,1,O4,4,1,1103075,393 7 AVENUE,MANHATTAN,1008070001,70,B
1313,1,D4,2,1,82644,485 PARK AVENUE,MANHATTAN,1013130001,57,C
1313,5,O4,4,1,596734,111 EAST 58 STREET,MANHATTAN,1013130005,70,B
1313,7502,R0,2,1,229547,130 EAST 59 STREET,MANHATTAN,1013137502,71,B
809,80,K2,4,1,39983,433 7 AVENUE,MANHATTAN,1008090080,7,D
1314,21,D6,2,1,387761,747 2 AVENUE,MANHATTAN,1013140021,25,D
1316,12,O3,4,1,300000,219 EAST 42 STREET,MANHATTAN,1013160012,69,C
1316,23,O4,4,1,672462,235 EAST 42 STREET,MANHATTAN,1013160023,46,D
1316,30,O4,4,1,141408,801 2 AVENUE,MANHATTAN,1013160030,67,C
1317,1,O4,4,2,559755,685 3 AVENUE,MANHATTAN,1013170001,78,B
619,1,D8,0,2,37721,502 HUDSON STREET,MANHATTAN,1006190001,30,D
1317,21,O3,4,1,137784,815 2 AVENUE,MANHATTAN,1013170021,78,B
812,19,O4,4,1,108214,135 WEST 36 STREET,MANHATTAN,1008120019,89,A
812,22,O4,4,1,397978,1359 BROADWAY,MANHATTAN,1008120022,92,A
812,49,O6,4,1,234846,1372 BROADWAY,MANHATTAN,1008120049,80,B
590,79,D4,2,1,36760,13 JONES STREET,MANHATTAN,1005900079,76,B
812,7501,R0,2,1,272725,485 7 AVENUE,MANHATTAN,1008127501,100,A
813,1,O6,4,1,433330,501 7 AVENUE,MANHATTAN,1008130001,67,C
813,16,O4,0,1,464951,1375 BROADWAY,MANHATTAN,1008130016,79,B
813,23,O4,4,2,479620,1372 BROADWAY,MANHATTAN,1008130023,48,D
813,31,O4,4,1,241001,1001 AVENUE OF THE AMERICAS,MANHATTAN,1008130031,80,B
1319,7503,R0,2,1,106438,205 EAST 45 STREET,MANHATTAN,1013197503,76,B
814,46,O6,4,1,118949,108 WEST 39 STREET,MANHATTAN,1008140046,69,C
814,7501,R0,2,1,338274,1031 6 AVENUE,MANHATTAN,1008147501,9,D
816,7503,R0,2,1,66363,50 WEST 15 STREET,MANHATTAN,1008167503,43,D
817,85,D4,2,1,129970,568 AVENUE OF THE AMERICAS,MANHATTAN,1008170085,1,D
1320,7503,R0,2,1,67498,204 EAST 47 STREET,MANHATTAN,1013207503,49,D
1321,1,O4,4,1,407767,757 3 AVENUE,MANHATTAN,1013210001,82,B
592,40,D6,2,1,47808,80 GROVE STREET,MANHATTAN,1005920040,2,D
817,7501,R0,2,1,70000,108 5 AVENUE,MANHATTAN,1008177501,14,D
818,10,D9,2,1,64049,43 WEST 16 STREET,MANHATTAN,1008180010,95,A
1321,47,O4,4,1,286212,767 3 AVENUE,MANHATTAN,1013210047,41,D
819,17,O6,0,2,35000,37 WEST 17 STREET,MANHATTAN,1008190017,29,D
819,19,O6,4,1,48532,33 WEST 17 STREET,MANHATTAN,1008190019,95,A
819,56,O6,4,1,173152,18 WEST 18 STREET,MANHATTAN,1008190056,99,A
620,7501,R0,2,1,66073,534 HUDSON STREET,MANHATTAN,1006207501,5,D
820,26,O6,4,1,191400,23 WEST 18 STREET,MANHATTAN,1008200026,71,B
1324,34,H3,4,1,68500,238 EAST 51 STREET,MANHATTAN,1013240034,48,D
821,38,O6,4,1,91000,142 5 AVENUE,MANHATTAN,1008210038,51,D
1325,7501,R0,2,1,33810,226 EAST 52 STREET,MANHATTAN,1013257501,11,D
821,64,O6,4,1,49500,36 WEST 20 STREET,MANHATTAN,1008210064,70,B
623,7501,R0,2,1,37638,295 WEST 11 STREET,MANHATTAN,1006237501,26,D
822,45,D4,2,1,119136,4 WEST 21 STREET,MANHATTAN,1008220045,4,D
822,62,O6,4,1,68808,38 WEST 21 STREET,MANHATTAN,1008220062,97,A
1327,37,D4,2,1,115020,220 EAST 54 STREET,MANHATTAN,1013270037,52,D
822,67,O6,4,1,48520,48 WEST 21 STREET,MANHATTAN,1008220067,92,A
624,31,D9,2,1,35136,8 8 AVENUE,MANHATTAN,1006240031,75,B
596,7502,R0,2,1,1107403,550 WASHINGTON STREET,MANHATTAN,1005967502,100,A
1331,1,K4,4,1,31987,953 3 AVENUE,MANHATTAN,1013310001,0,F
624,60,C7,2,1,25614,65 BANK STREET,MANHATTAN,1006240060,66,C
1331,17,D4,2,1,105749,235 EAST 57 STREET,MANHATTAN,1013310017,5,D
823,7506,R0,2,1,121998,162 5 AVENUE,MANHATTAN,1008237506,24,D
823,7507,R0,2,1,352361,7 WEST 21 STREET,MANHATTAN,1008237507,35,D
824,11,D6,2,1,527452,56 WEST 23 STREET,MANHATTAN,1008240011,10,D
1331,39,D6,2,1,84000,210 EAST 58 STREET,MANHATTAN,1013310039,26,D
1332,29,D6,2,1,324212,240 EAST 59 STREET,MANHATTAN,1013320029,27,D
825,9,K4,4,1,46900,61 WEST 23 STREET,MANHATTAN,1008250009,90,A
826,7501,R0,2,1,345972,1107 BROADWAY,MANHATTAN,1008267501,55,C
827,27,O6,4,1,26504,11 WEST 25 STREET,MANHATTAN,1008270027,91,A
1335,39,D3,2,1,48892,328 EAST 43 STREET,MANHATTAN,1013350039,26,D
1337,6,D6,2,1,186255,307 EAST 44 STREET,MANHATTAN,1013370006,65,C
827,7501,R0,2,1,195338,212 5 AVENUE,MANHATTAN,1008277501,85,A
603,28,O3,4,1,154328,617 WASHINGTON STREET,MANHATTAN,1006030028,37,D
828,9,O6,4,1,112259,37 WEST 26 STREET,MANHATTAN,1008280009,62,C
1338,5,D4,2,1,387094,305 EAST 45 STREET,MANHATTAN,1013380005,38,D
603,37,D4,2,1,81040,644 GREENWICH STREET,MANHATTAN,1006030037,72,B
1338,12,D4,2,1,58500,321 EAST 45 STREET,MANHATTAN,1013380012,51,D
828,35,O3,4,1,150888,218 5 AVENUE,MANHATTAN,1008280035,66,C
603,46,H8,4,1,90000,636 GREENWICH STREET,MANHATTAN,1006030046,48,D
828,53,H3,4,1,52916,1155 BROADWAY,MANHATTAN,1008280053,68,C
828,56,O6,4,1,91000,12 WEST 27 STREET,MANHATTAN,1008280056,60,C
828,59,O6,4,1,27559,18 WEST 27 STREET,MANHATTAN,1008280059,67,C
1338,35,D6,2,1,152676,330 EAST 46 STREET,MANHATTAN,1013380035,27,D
603,49,W1,0,1,171562,75 MORTON STREET,MANHATTAN,1006030049,48,D
1339,7502,R0,2,1,303754,345 EAST 46 STREET,MANHATTAN,1013397502,2,D
624,1,D4,2,1,90450,771 GREENWICH STREET,MANHATTAN,1006240001,74,B
829,16,O6,4,1,106800,31 WEST 27 STREET,MANHATTAN,1008290016,80,B
1342,23,D4,2,1,106000,349 EAST 49 STREET,MANHATTAN,1013420023,65,C
624,41,D9,2,1,34872,300 WEST 12 STREET,MANHATTAN,1006240041,0,F
624,44,D1,2,1,26694,290 WEST 12 STREET,MANHATTAN,1006240044,80,B
624,7503,R0,2,1,145696,302 WEST 12 STREET,MANHATTAN,1006247503,54,D
1344,30,D6,2,1,142767,939 1 AVENUE,MANHATTAN,1013440030,46,D
830,37,H1,4,1,130253,250 5 AVENUE,MANHATTAN,1008300037,100,A
830,54,H3,4,1,185000,1186 BROADWAY,MANHATTAN,1008300054,6,D
625,7501,R0,2,1,159790,299 WEST 12 STREET,MANHATTAN,1006257501,52,D
831,20,D0,2,1,101808,1200 BROADWAY,MANHATTAN,1008310020,52,D
629,29,C7,2,1,38376,304 WEST 14 STREET,MANHATTAN,1006290029,1,D
832,24,O6,4,1,68764,29 WEST 30 STREET,MANHATTAN,1008320024,72,B
832,32,D0,2,1,62091,11 WEST 30 STREET,MANHATTAN,1008320032,14,D
1346,23,D7,2,1,38934,965 1 AVENUE,MANHATTAN,1013460023,80,B
832,41,O6,4,1,44380,286 5 AVENUE,MANHATTAN,1008320041,77,B
1346,7501,R0,2,1,65000,320 EAST 54 STREET,MANHATTAN,1013467501,25,D
629,7501,R0,2,1,30312,321 WEST 13 STREET,MANHATTAN,1006297501,74,B
832,49,H3,4,1,90633,4 WEST 31 STREET,MANHATTAN,1008320049,96,A
833,18,O6,4,1,132844,39 WEST 31 STREET,MANHATTAN,1008330018,99,A
1347,9,D4,2,1,58377,321 EAST 54 STREET,MANHATTAN,1013470009,84,B
833,20,O6,4,1,32500,35 WEST 31 STREET,MANHATTAN,1008330020,46,D
833,40,O6,4,1,25480,304 5 AVENUE,MANHATTAN,1008330040,100,A
1347,14,D3,2,1,26810,333 EAST 54 STREET,MANHATTAN,1013470014,78,B
833,75,D6,2,1,62612,1265 BROADWAY,MANHATTAN,1008330075,14,D
833,7502,R0,2,1,221805,9 WEST 31 STREET,MANHATTAN,1008337502,78,B
835,1,D6,0,1,886042,46 WEST 34 STREET,MANHATTAN,1008350001,66,C
835,11,O5,4,1,39821,43 WEST 33 STREET,MANHATTAN,1008350011,0,F
835,15,D8,2,1,160126,35 WEST 33 STREET,MANHATTAN,1008350015,100,A
1347,42,D1,2,1,25040,316 EAST 55 STREET,MANHATTAN,1013470042,84,B
1347,44,D4,2,1,62287,310 EAST 55 STREET,MANHATTAN,1013470044,50,D
836,10,O6,4,1,275609,31 WEST 34 STREET,MANHATTAN,1008360010,47,D
631,7503,R0,2,1,136761,275 WEST 10 STREET,MANHATTAN,1006317503,63,C
836,43,O6,4,1,147595,366 5 AVENUE,MANHATTAN,1008360043,88,A
836,7501,R0,2,1,59833,15 WEST 34 STREET,MANHATTAN,1008367501,62,C
1349,14,D8,2,1,239874,333 EAST 56 STREET,MANHATTAN,1013490014,7,D
607,7502,R0,2,1,105000,130 WEST 12 STREET,MANHATTAN,1006077502,10,D
1350,20,D4,2,1,89349,345 EAST 57 STREET,MANHATTAN,1013500020,81,B
836,7502,R0,2,1,329989,1328 BROADWAY,MANHATTAN,1008367502,60,C
837,1,H3,4,1,100738,960 AVENUE OF THE AMERICAS,MANHATTAN,1008370001,7,D
837,6,H2,4,1,122859,63 WEST 35 STREET,MANHATTAN,1008370006,70,B
837,15,H2,4,1,81706,43 WEST 35 STREET,MANHATTAN,1008370015,26,D
837,36,O6,4,1,87301,3 WEST 35 STREET,MANHATTAN,1008370036,67,C
837,78,H3,4,1,51157,60 WEST 36 STREET,MANHATTAN,1008370078,58,C
838,8,O6,4,1,53463,63 WEST 36 STREET,MANHATTAN,1008380008,70,B
838,32,O6,4,1,80500,15 WEST 36 STREET,MANHATTAN,1008380032,79,B
1350,35,D1,2,1,30225,330 EAST 58 STREET,MANHATTAN,1013500035,47,D
632,17,D4,2,1,141001,726 GREENWICH STREET,MANHATTAN,1006320017,82,B
838,36,O6,4,1,62135,7 WEST 36 STREET,MANHATTAN,1008380036,7,D
838,76,O6,0,1,130625,48 WEST 37 STREET,MANHATTAN,1008380076,75,B
608,39,D4,2,1,364679,101 WEST 12 STREET,MANHATTAN,1006080039,39,D
838,7502,R0,2,1,174876,60 WEST 37 STREET,MANHATTAN,1008387502,56,C
839,63,D0,2,1,55870,28 WEST 38 STREET,MANHATTAN,1008390063,58,C
1351,28,D6,2,1,26100,1075 1 AVENUE,MANHATTAN,1013510028,1,D
840,13,O6,4,1,63412,49 WEST 38 STREET,MANHATTAN,1008400013,66,C
1351,36,O6,4,1,34500,332 EAST 59 STREET,MANHATTAN,1013510036,88,A
840,19,O6,4,1,44352,39 WEST 38 STREET,MANHATTAN,1008400019,39,D
840,66,O6,4,1,60931,32 WEST 39 STREET,MANHATTAN,1008400066,0,F
840,71,O6,4,1,157748,42 WEST 39 STREET,MANHATTAN,1008400071,76,B
841,27,O6,4,1,79056,15 WEST 39 STREET,MANHATTAN,1008410027,46,D
841,54,O4,4,1,115307,8 WEST 40 STREET,MANHATTAN,1008410054,77,B
841,75,W6,4,1,91000,50 WEST 40 STREET,MANHATTAN,1008410075,54,D
1363,31,D4,2,1,86182,434 EAST 52 STREET,MANHATTAN,1013630031,70,B
1363,37,D4,2,1,88181,424 EAST 52 STREET,MANHATTAN,1013630037,70,B
635,42,D5,2,1,37064,123 BANK STREET,MANHATTAN,1006350042,17,D
842,7501,R0,2,1,175750,69 5 AVENUE,MANHATTAN,1008427501,36,D
843,20,O6,4,1,87545,17 UNION SQUARE,MANHATTAN,1008430020,64,C
843,22,H8,4,3,238204,21 UNION SQUARE,MANHATTAN,1008430022,58,C
634,16,D1,2,1,42258,110 BANK STREET,MANHATTAN,1006340016,83,B
844,19,D6,2,1,51150,33 UNION SQUARE,MANHATTAN,1008440019,86,A
634,23,D4,2,1,45426,760 GREENWICH STREET,MANHATTAN,1006340023,72,B
636,60,C6,0,2,37020,666 WASHINGTON STREET,MANHATTAN,1006360060,0,F
1368,1,D1,2,1,290482,1026 1 AVENUE,MANHATTAN,1013680001,53,D
846,41,D7,2,1,33638,220 PARK AVENUE SOUTH,MANHATTAN,1008460041,0,F
1369,2,D4,2,1,118305,411 EAST 57 STREET,MANHATTAN,1013690002,22,D
634,36,C6,2,1,31206,323 WEST 11 STREET,MANHATTAN,1006340036,4,D
1369,7501,R0,2,1,85992,420 EAST 58 STREET,MANHATTAN,1013697501,80,B
637,77,D0,2,1,39750,161 PERRY STREET,MANHATTAN,1006370077,81,B
847,24,D0,2,1,43073,874 BROADWAY,MANHATTAN,1008470024,82,B
847,29,O6,4,1,67051,37 EAST 18 STREET,MANHATTAN,1008470029,77,B
637,7505,R0,2,1,77231,165 CHARLES STREET,MANHATTAN,1006377505,1,D
1371,14,D4,2,1,510547,45 SUTTON PLACE SOUTH,MANHATTAN,1013710014,77,B
847,62,O6,4,2,276481,881 BROADWAY,MANHATTAN,1008470062,66,C
848,1,O6,4,1,56731,119 5 AVENUE,MANHATTAN,1008480001,30,D
638,1,D4,2,1,69755,427 WEST STREET,MANHATTAN,1006380001,27,D
638,19,C6,2,10,118350,720 WEST 11 STREET,MANHATTAN,1006380019,55,C
848,43,O6,4,1,111569,242 PARK AVENUE SOUTH,MANHATTAN,1008480043,59,C
848,50,O6,4,1,27446,36 EAST 20 STREET,MANHATTAN,1008480050,61,C
639,1,D8,2,1,637555,445 WEST STREET,MANHATTAN,1006390001,59,C
640,12,D0,2,1,100320,380 WEST 12 STREET,MANHATTAN,1006400012,80,B
640,21,D1,2,1,76549,756 WASHINGTON STREET,MANHATTAN,1006400021,59,C
