score_address,place_address,Facility_Name,Longitude,Latitude,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,h3,similarity,rank
3350 BROADWAY,33-05 BROADWAY,SELO RESTAURANT,-73.9234416,40.7612247,1988,134,D7,2,1,50742,3350 BROADWAY,MANHATTAN,1019880134,40,D,,0.9604395604395605,1
1733 SHEEPSHEAD BAY ROAD,1738 SHEEPSHEAD BAY RD,MUNCHINETTE,-73.9514805,40.5851064,8772,78,O5,0,1,30269,1733 SHEEPSHEAD BAY ROAD,BROOKLYN,-2147483648,33,D,,0.9602272727272728,1
299 PARK AVENUE,299 PARK AVE,TAKI TAKI LATIN FOOD,-74.2050376,40.7665978,1303,1,O4,0,1,1039281,299 PARK AVENUE,MANHATTAN,1013030001,58,C,,0.96,1
118 PARK AVENUE,118 PARK AVE,SALAD HOUSE,-74.1058014,40.8270316,1276,33,O4,4,1,600000,118 PARK AVENUE,MANHATTAN,1012760033,61,C,,0.96,1
3 HANOVER SQUARE,"3 HANOVER SQUARE, 10",AILEEN THAI,-74.0091717,40.7046095,28,1,D0,2,1,239121,3 HANOVER SQUARE,MANHATTAN,1000280001,6,D,,0.96,1
107 RIVINGTON STREET,107 RIVINGTON ST,KINGINNYC,-73.98803,40.7199,410,48,H1,4,1,59000,107 RIVINGTON STREET,MANHATTAN,1004100048,13,D,,0.96,1
230 PARK AVENUE,230 PARK AVE,URBANSPACE VANDERBILT,-73.976658,40.7544075,1300,1,O4,0,1,1212596,230 PARK AVENUE,MANHATTAN,1013000001,90,A,,0.96,1
96 WYTHE AVENUE,96 WYTHE AVE,SUNGOLD,-73.9584832,40.7213342,2295,21,H2,4,1,78215,96 WYTHE AVENUE,BROOKLYN,-2147483648,0,F,,0.96,1
390 PARK AVENUE,390 PARK AVE,LEVER HOUSE,-73.9725897,40.7595424,1289,36,O4,4,1,262945,390 PARK AVENUE,MANHATTAN,1012890036,22,D,,0.96,1
138 LAFAYETTE STREET,138 LAFAYETTE ST,LE COUCOU,-74.0000919,40.7190942,209,19,HB,4,1,112900,138 LAFAYETTE STREET,MANHATTAN,1002090019,7,D,,0.96,1
505 PARK AVENUE,505 PARK AVE,ARORA - L'ART DU COCKTAIL,-73.9694459,40.7630404,1394,1,O4,4,1,220510,505 PARK AVENUE,MANHATTAN,1013940001,80,B,,0.96,1
125 PARK AVENUE,125 PARK AVE,LITTLE BEET,-73.977923,40.7516036,1296,1,O4,4,1,520416,125 PARK AVENUE,MANHATTAN,1012960001,67,C,,0.96,1
1440 BROADWAY,1400 BROADWAY,I KNOW THE CHEF,-73.9873098,40.7523869,993,11,O4,4,1,747576,1440 BROADWAY,MANHATTAN,1009930011,32,D,,0.958974358974359,1
1515 BROADWAY,1501 BROADWAY,HARD ROCK CAFE,-73.986581,40.757034,1016,36,O4,4,1,1721814,1515 BROADWAY,MANHATTAN,1010160036,62,C,,0.958974358974359,1
3841 BROADWAY,3801 BROADWAY,IPIZZANY,-73.9446387,40.8349674,2137,11,D6,2,1,109022,3841 BROADWAY,MANHATTAN,1021370011,34,D,,0.958974358974359,1
3910 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,2122,62,D7,2,1,49576,3910 BROADWAY,MANHATTAN,1021220062,14,D,,0.958974358974359,1
4862 BROADWAY,4892 BROADWAY,INWOOD BAR AND GRILL,-73.9225085,40.8671209,2234,7,W1,0,1,85712,4862 BROADWAY,MANHATTAN,1022340007,61,C,,0.958974358974359,1
1648 BROADWAY,1604 BROADWAY,PALMA VERDE,-73.98435,40.76062,1022,35,O6,4,1,95962,1648 BROADWAY,MANHATTAN,1010220035,9,D,,0.958974358974359,1
3590 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,2079,61,D7,2,1,57502,3590 BROADWAY,MANHATTAN,1020790061,49,D,,0.958974358974359,1
3840 BROADWAY,3801 BROADWAY,IPIZZANY,-73.9446387,40.8349674,2119,1,D7,2,1,46420,3840 BROADWAY,MANHATTAN,1021190001,61,C,,0.958974358974359,1
5365 BROADWAY,53 BROADWAY,LAVENDER LAKE,-73.9663428,40.7106977,2215,623,D3,2,2,222600,5365 BROADWAY,MANHATTAN,1022150623,0,F,,0.958974358974359,1
1129 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,827,49,O6,4,2,183168,1129 BROADWAY,MANHATTAN,1008270049,90,A,,0.958974358974359,1
1430 BROADWAY,1400 BROADWAY,I KNOW THE CHEF,-73.9873098,40.7523869,815,46,O4,4,1,364000,1430 BROADWAY,MANHATTAN,1008150046,58,C,,0.958974358974359,1
1708 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,1026,21,O5,4,1,52150,1708 BROADWAY,MANHATTAN,1010260021,100,A,,0.958974358974359,1
1930 BROADWAY,1900 BROADWAY,EPICERIE BOULUD,-73.981644,40.771677,1117,1,D7,2,1,377564,1930 BROADWAY,MANHATTAN,1011170001,40,D,,0.958974358974359,1
3320 BROADWAY,33 BROADWAY,LA CABANA ELEGANTE RESTAURANTE,-74.1275701,40.86011,1988,1,E7,4,1,50452,3320 BROADWAY,MANHATTAN,1019880001,0,F,,0.958974358974359,1
3595 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,2094,7503,R0,2,1,76598,3595 BROADWAY,MANHATTAN,1020947503,62,C,,0.958974358974359,1
55 BROADWAY,5592 BROADWAY,MALECON,-73.9043378,40.8792992,20,16,O4,4,1,309381,55 BROADWAY,MANHATTAN,1000200016,78,B,,0.958974358974359,1
1161 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,829,22,O5,4,1,43000,1161 BROADWAY,MANHATTAN,1008290022,97,A,,0.958974358974359,1
3612 BROADWAY,3628 BROADWAY,KANÜ BAR|GRILL,-73.9482181,40.8291911,2080,59,D7,2,1,36624,3612 BROADWAY,MANHATTAN,1020800059,5,D,,0.958974358974359,1
4161 BROADWAY,4141 BROADWAY,MALECON RESTAURANT,-73.9385331,40.8463793,2142,200,D7,2,1,43994,4161 BROADWAY,MANHATTAN,1021420200,27,D,,0.958974358974359,1
4761 BROADWAY,4736 BROADWAY,THE EDIBILIST,-73.928258,40.8648293,2237,1,D7,2,1,136060,4761 BROADWAY,MANHATTAN,1022370001,23,D,,0.958974358974359,1
1675 BROADWAY,1605 BROADWAY,BRASSERIE 1605,-73.9848417,40.7605922,1024,15,O4,4,1,762619,1675 BROADWAY,MANHATTAN,1010240015,79,B,,0.958974358974359,1
2481 BROADWAY,2451 BROADWAY,BARZINI'S,-73.9745003,40.7913615,1240,10,D7,2,1,132975,2481 BROADWAY,MANHATTAN,1012400010,49,D,,0.958974358974359,1
3489 BROADWAY,3496 BROADWAY,BLESS BAR & KITCHEN,-73.9512733,40.8249511,2089,33,D6,0,1,99946,3489 BROADWAY,MANHATTAN,1020890033,27,D,,0.958974358974359,1
3607 BROADWAY,3660 BROADWAY,NEW DELI 1,-73.9474297,40.8302955,2095,33,D7,2,1,56436,3607 BROADWAY,MANHATTAN,1020950033,18,D,,0.958974358974359,1
42 BROADWAY,4221 BROADWAY,TIERRA Y MAR,-73.9371438,40.849068,22,20,O4,4,1,389927,42 BROADWAY,MANHATTAN,1000220020,70,B,,0.958974358974359,1
4321 BROADWAY,4311 BROADWAY,SUSHI YU 2,-73.9351325,40.852069,2180,120,C7,2,1,56300,4321 BROADWAY,MANHATTAN,1021800120,31,D,,0.958974358974359,1
1121 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,827,28,O6,4,1,105667,1121 BROADWAY,MANHATTAN,1008270028,100,A,,0.958974358974359,1
2401 BROADWAY,2451 BROADWAY,BARZINI'S,-73.9745003,40.7913615,1236,10,D6,2,1,164530,2401 BROADWAY,MANHATTAN,1012360010,43,D,,0.958974358974359,1
2612 BROADWAY,2672 BROADWAY,ABIGAIL'S,-73.9687981,40.7982465,1870,45,D3,2,1,33855,2612 BROADWAY,MANHATTAN,1018700045,95,A,,0.958974358974359,1
2901 BROADWAY,2980 BROADWAY,FOGON.2,-73.9629223,40.8086823,1895,55,D6,2,2,178897,2901 BROADWAY,MANHATTAN,1018950055,79,B,,0.958974358974359,1
3461 BROADWAY,3496 BROADWAY,BLESS BAR & KITCHEN,-73.9512733,40.8249511,2088,91,D7,2,1,47526,3461 BROADWAY,MANHATTAN,1020880091,36,D,,0.958974358974359,1
4232 BROADWAY,4221 BROADWAY,TIERRA Y MAR,-73.9371438,40.849068,2163,32,D7,2,1,60123,4232 BROADWAY,MANHATTAN,1021630032,84,B,,0.958974358974359,1
4340 BROADWAY,4300 BROADWAY,NORTHEND FOOD HALL,-73.9348941,40.8515873,2167,29,W1,0,3,109258,4340 BROADWAY,MANHATTAN,1021670029,60,C,,0.958974358974359,1
1652 BROADWAY,1605 BROADWAY,BRASSERIE 1605,-73.9848417,40.7605922,1023,29,H3,4,1,461591,1652 BROADWAY,MANHATTAN,1010230029,25,D,,0.958974358974359,1
1724 BROADWAY,1794 BROADWAY,NEW JIN SHING,-73.909389,40.682073,1026,41,HB,4,1,87682,1724 BROADWAY,MANHATTAN,1010260041,0,F,,0.958974358974359,1
2628 BROADWAY,2672 BROADWAY,ABIGAIL'S,-73.9687981,40.7982465,1871,7502,R0,2,1,134627,2628 BROADWAY,MANHATTAN,1018717502,40,D,,0.958974358974359,1
3502 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,2075,1,D7,2,1,46890,3502 BROADWAY,MANHATTAN,1020750001,95,A,,0.958974358974359,1
3900 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,2122,58,D7,2,1,49576,3900 BROADWAY,MANHATTAN,1021220058,54,D,,0.958974358974359,1
4410 BROADWAY,4460 BROADWAY,LA CANTINA HEIGHTS,-73.9324851,40.8568015,2170,37,D1,2,1,52038,4410 BROADWAY,MANHATTAN,1021700037,75,B,,0.958974358974359,1
3291 BROADWAY,3229 BROADWAY,BUTTERFUNK BISCUIT CO.,-73.9578458,40.8167604,1999,36,D7,2,1,53340,3291 BROADWAY,MANHATTAN,1019990036,37,D,,0.958974358974359,1
3901 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,2137,110,D7,2,1,58269,3901 BROADWAY,MANHATTAN,1021370110,7,D,,0.958974358974359,1
4951 BROADWAY,4961 BROADWAY,GARDEN CAFE,-73.9204777,40.8680518,2242,61,K2,4,1,30189,4951 BROADWAY,MANHATTAN,1022420061,79,B,,0.958974358974359,1
2709 BROADWAY,2791 BROADWAY,FUMO PIZZA BROADWAY,-73.9681172,40.8028379,1875,53,D7,2,1,25270,2709 BROADWAY,MANHATTAN,1018750053,0,F,,0.958974358974359,1
3421 BROADWAY,3431 BROADWAY,TRUFA RESTAURANT,-73.9531479,40.8231468,2087,93,D7,2,1,34360,3421 BROADWAY,MANHATTAN,1020870093,4,D,,0.958974358974359,1
4700 BROADWAY,47 BROADWAY,TGI FRIDAYS,-74.013,40.7065,2175,22,D1,2,1,65532,4700 BROADWAY,MANHATTAN,1021750022,72,B,,0.958974358974359,1
4720 BROADWAY,47 BROADWAY,CHINA CHALET,-74.012944,40.7065,2175,33,D7,2,1,52378,4720 BROADWAY,MANHATTAN,1021750033,62,C,,0.958974358974359,1
1784 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,1029,53,O4,4,1,206334,1784 BROADWAY,MANHATTAN,1010290053,32,D,,0.958974358974359,1
2412 BROADWAY,2451 BROADWAY,BARZINI'S,-73.9745003,40.7913615,1236,44,D6,2,1,76627,2412 BROADWAY,MANHATTAN,1012360044,14,D,,0.958974358974359,1
2495 BROADWAY,2451 BROADWAY,BARZINI'S,-73.9745003,40.7913615,1240,52,D6,2,1,129000,2495 BROADWAY,MANHATTAN,1012400052,28,D,,0.958974358974359,1
2721 BROADWAY,2715 BROADWAY,ZURNA RESTAURANT,-73.9685896,40.7997544,1876,7,D4,2,1,145625,2721 BROADWAY,MANHATTAN,1018760007,67,C,,0.958974358974359,1
2753 BROADWAY,2715 BROADWAY,ZURNA RESTAURANT,-73.9685896,40.7997544,1877,61,D6,2,1,40600,2753 BROADWAY,MANHATTAN,1018770061,80,B,,0.958974358974359,1
3181 BROADWAY,3151 BROADWAY,FALAFEL ON BROADWAY,-73.9596011,40.8145156,1995,7501,R0,2,1,42653,3181 BROADWAY,MANHATTAN,1019957501,11,D,,0.958974358974359,1
3890 BROADWAY,3801 BROADWAY,IPIZZANY,-73.9446387,40.8349674,2122,52,D7,2,1,48233,3890 BROADWAY,MANHATTAN,1021220052,6,D,,0.958974358974359,1
4151 BROADWAY,4141 BROADWAY,MALECON RESTAURANT,-73.9385331,40.8463793,2142,217,D7,2,1,70436,4151 BROADWAY,MANHATTAN,1021420217,37,D,,0.958974358974359,1
1720 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,1512,8,M1,4,1,27931,1720 BROADWAY,BROOKLYN,-2147483648,0,F,,0.958974358974359,1
2701 BROADWAY,2715 BROADWAY,ZURNA RESTAURANT,-73.9685896,40.7997544,1875,10,D7,2,1,46660,2701 BROADWAY,MANHATTAN,1018750010,0,F,,0.958974358974359,1
3340 BROADWAY,33 BROADWAY,LA CABANA ELEGANTE RESTAURANTE,-74.1275701,40.86011,1988,74,D7,2,1,56379,3340 BROADWAY,MANHATTAN,1019880074,13,D,,0.958974358974359,1
3542 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,2077,1,D7,2,1,61540,3542 BROADWAY,MANHATTAN,1020770001,4,D,,0.958974358974359,1
3640 BROADWAY,3660 BROADWAY,NEW DELI 1,-73.9474297,40.8302955,2082,1,D7,2,1,44922,3640 BROADWAY,MANHATTAN,1020820001,12,D,,0.958974358974359,1
39 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,20,4,O4,4,1,447452,39 BROADWAY,MANHATTAN,1000200004,78,B,,0.958974358974359,1
4380 BROADWAY,4300 BROADWAY,NORTHEND FOOD HALL,-73.9348941,40.8515873,2170,1,D7,2,1,32187,4380 BROADWAY,MANHATTAN,1021700001,6,D,,0.958974358974359,1
4740 BROADWAY,47 BROADWAY,CHINA CHALET,-74.012944,40.7065,2175,45,C7,2,1,58400,4740 BROADWAY,MANHATTAN,1021750045,10,D,,0.958974358974359,1
1115 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,826,46,O6,0,1,259749,1115 BROADWAY,MANHATTAN,1008260046,81,B,,0.958974358974359,1
1651 BROADWAY,1605 BROADWAY,BRASSERIE 1605,-73.9848417,40.7605922,1023,18,H2,4,1,325216,1651 BROADWAY,MANHATTAN,1010230018,26,D,,0.958974358974359,1
1013 BROADWAY,1033 BROADWAY,HUNKI'S PIZZA BAR,-73.7073757,40.6313558,3204,8,D7,2,1,35303,1013 BROADWAY,BROOKLYN,-2147483648,0,F,,0.958974358974359,1
1107 BROADWAY,1140 BROADWAY,MTHEORY,-73.988854,40.7439951,826,7501,R0,2,1,345972,1107 BROADWAY,MANHATTAN,1008267501,55,C,,0.958974358974359,1
3681 BROADWAY,3628 BROADWAY,KANÜ BAR|GRILL,-73.9482181,40.8291911,2099,36,D4,2,1,67254,3681 BROADWAY,MANHATTAN,1020990036,83,B,,0.958974358974359,1
4706 BROADWAY,4736 BROADWAY,THE EDIBILIST,-73.928258,40.8648293,2175,27,D7,2,1,67800,4706 BROADWAY,MANHATTAN,1021750027,3,D,,0.958974358974359,1
4857 BROADWAY,4805 BROADWAY,READY STRONG MEALS,-74.01715,40.78013,2238,33,D9,2,1,30122,4857 BROADWAY,MANHATTAN,1022380033,62,C,,0.958974358974359,1
3105 BROADWAY,3151 BROADWAY,FALAFEL ON BROADWAY,-73.9596011,40.8145156,1993,15,D1,2,1,51870,3105 BROADWAY,MANHATTAN,1019930015,49,D,,0.958974358974359,1
3381 BROADWAY,33 BROADWAY,LA CABANA ELEGANTE RESTAURANTE,-74.1275701,40.86011,2086,29,D7,2,1,57415,3381 BROADWAY,MANHATTAN,1020860029,25,D,,0.958974358974359,1
4109 BROADWAY,4193 BROADWAY,TERRAVITA,-73.9379742,40.8480627,2142,133,M1,4,1,35175,4109 BROADWAY,MANHATTAN,1021420133,0,F,,0.958974358974359,1
4121 BROADWAY,4141 BROADWAY,MALECON RESTAURANT,-73.9385331,40.8463793,2142,244,D7,2,1,76812,4121 BROADWAY,MANHATTAN,1021420244,3,D,,0.958974358974359,1
4996 BROADWAY,4961 BROADWAY,GARDEN CAFE,-73.9204777,40.8680518,2229,5,C7,2,1,55015,4996 BROADWAY,MANHATTAN,1022290005,90,A,,0.958974358974359,1
3117 BROADWAY,3151 BROADWAY,FALAFEL ON BROADWAY,-73.9596011,40.8145156,1993,23,D4,2,1,60642,3117 BROADWAY,MANHATTAN,1019930023,54,D,,0.958974358974359,1
3486 BROADWAY,3496 BROADWAY,BLESS BAR & KITCHEN,-73.9512733,40.8249511,2074,1,D7,2,1,44298,3486 BROADWAY,MANHATTAN,1020740001,1,D,,0.958974358974359,1
3580 BROADWAY,35 BROADWAY,PATRIZIAS,-74.012746,40.706693,2079,1,D7,2,1,57060,3580 BROADWAY,MANHATTAN,1020790001,11,D,,0.958974358974359,1
4915 BROADWAY,4961 BROADWAY,GARDEN CAFE,-73.9204777,40.8680518,2241,25,D7,2,1,107085,4915 BROADWAY,MANHATTAN,1022410025,98,A,,0.958974358974359,1
6629 BROADWAY,6697 BROADWAY,SPANGLISH BAR & RESTAURANT,-73.8967689,40.9114331,5874,1028,D1,2,1,76009,6629 BROADWAY,BRONX,2058741028,54,D,,0.958974358974359,1
100-15 DITMARS BOULEVARD,100-15 DITMARS BLVD,GOOD EATS BISTRO,-73.8697553,40.7702445,1634,1,H2,4,2,124483,100-15 DITMARS BOULEVARD,QUEENS,-2147483648,54,D,,0.9583333333333333,1
135 DIVISION STREET,135 DIVISION ST,TWO BRIDGES LUNCHEONETTE,-73.9911547,40.7143918,283,7502,R0,2,1,25366,135 DIVISION STREET,MANHATTAN,1002837502,0,F,,0.9578947368421054,1
215 CHRYSTIE STREET,215 CHRYSTIE ST,LOUIS AT PUBLIC HOTEL,-73.9917758,40.7230055,427,7507,R0,2,1,277464,215 CHRYSTIE STREET,MANHATTAN,1004277507,18,D,,0.9578947368421054,1
125 CHAMBERS STREET,125 CHAMBERS ST,SWEETGREEN,-74.0088454,40.7154135,145,12,H2,4,1,53039,125 CHAMBERS STREET,MANHATTAN,1001450012,1,D,,0.9578947368421054,1
37-20 PRINCE STREET,37-20 PRINCE ST,COCO HOTPOT 皇椰鸡,-73.8328778,40.7602544,4972,7501,R0,2,1,139068,37-20 PRINCE STREET,QUEENS,-2147483648,22,D,,0.9578947368421054,1
214 FRANKLIN STREET,214 FRANKLIN ST,MADRE,-73.957888,40.73301,2522,3,HB,4,1,26389,214 FRANKLIN STREET,BROOKLYN,-2147483648,75,B,,0.9578947368421054,1
2275 COLEMAN STREET,2275 COLEMAN ST,MAMMA'S RITA KITCHEN,-73.922558,40.607742,8558,10,O7,4,1,44000,2275 COLEMAN STREET,BROOKLYN,-2147483648,39,D,,0.9578947368421054,1
43-15 QUEENS STREET,43-15 QUEENS ST,HALAL EXPRESS,-73.9392232,40.7474485,265,6,F5,4,1,52500,43-15 QUEENS STREET,QUEENS,-2147483648,88,A,,0.9578947368421054,1
140 PLYMOUTH STREET,140 PLYMOUTH ST,LUCKY RABBIT NOODLES,-73.9881462,40.7037864,29,8,K4,4,1,25301,140 PLYMOUTH STREET,BROOKLYN,-2147483648,60,C,,0.9578947368421054,1
145 MULBERRY STREET,145 MULBERRY ST,CAPRI RISTORANTE,-73.9977367,40.7189931,236,7502,R0,2,1,33671,145 MULBERRY STREET,MANHATTAN,1002367502,1,D,,0.9578947368421054,1
2601 FREDERICK DOUGLASS BLVD.,2167 FREDERICK DOUGLASS BLVD,"LEVAIN BAKERY - HARLEM, NYC",-73.9551185,40.8052052,2041,7504,R0,2,1,33230,2601 FREDERICK DOUGLASS BLVD.,MANHATTAN,1020417504,52,D,,0.9574849480021893,1
240 RIVERSIDE BOULEVARD,240 RIVERSIDE BLVD,FRYING PAN,-73.98692,40.780329,1171,7503,R0,2,1,368150,240 RIVERSIDE BOULEVARD,MANHATTAN,1011717503,7,D,,0.9565217391304348,1
140 ST NICHOLAS AVENUE,1405 ST NICHOLAS AVE,MUNCHIES THE BEST TASTE,-73.934172,40.8489167,1923,29,D9,0,2,76307,140 ST NICHOLAS AVENUE,MANHATTAN,1019230029,0,F,,0.9565151515151515,1
2425 KINGS HIGHWAY,2425 KINGS HWY,BAR DE JAR,-73.949707,40.613174,6771,13,D4,2,2,135000,2425 KINGS HIGHWAY,BROOKLYN,-2147483648,39,D,,0.9555555555555556,1
1807 ARCHER STREET,1807 ARCHER ST,A DAUGHTER AND TWO SONS,-73.8666928,40.8377814,3920,24,C7,2,1,34945,1807 ARCHER STREET,BRONX,2039200024,31,D,,0.9555555555555556,1
225 LIBERTY STREET,225 LIBERTY ST,CREPERIE,-74.0158188,40.7116286,16,125,O4,4,2,2267925,225 LIBERTY STREET,MANHATTAN,1000160125,75,B,,0.9555555555555556,1
123 WILLIAM STREET,123 WILLIAM ST,DIM SUM PALACE,-74.0068256,40.7093332,78,4,O4,4,1,493039,123 WILLIAM STREET,MANHATTAN,1000780004,81,B,,0.9555555555555556,1
85 DELANCEY STREET,85 DELANCEY ST,MR MAKS GINBAO LLC,-73.9897077,40.7188265,409,5,O5,4,1,26856,85 DELANCEY STREET,MANHATTAN,1004090005,59,C,,0.9555555555555556,1
416 BROADWAY,417 BROADWAY,VILLA MARIA,-74.120783,40.6612034,196,9,H3,4,1,31214,416 BROADWAY,MANHATTAN,1001960009,1,D,,0.9555555555555555,1
1595 LEXINGTON AVENUE,159 LEXINGTON AVE,PENELOPE,-73.981465,40.743703,1629,7502,R0,2,1,54777,1595 LEXINGTON AVENUE,MANHATTAN,1016297502,50,D,,0.9555555555555555,1
299 BROADWAY,293 BROADWAY,ALKOFEIA RESTAURANT,-74.1244102,40.6568965,150,31,O6,4,1,253033,299 BROADWAY,MANHATTAN,1001500031,81,B,,0.9555555555555555,1
520 BROADWAY,527 BROADWAY,SUBWAY,-74.1175024,40.6651121,483,15,O6,4,1,48235,520 BROADWAY,MANHATTAN,1004830015,69,C,,0.9555555555555555,1
261 BROADWAY,264 BROADWAY,EL PILÓN RESTAURANTE,-74.16914,40.7598256,135,7501,R0,2,1,122000,261 BROADWAY,MANHATTAN,1001357501,74,B,,0.9555555555555555,1
266 BROADWAY,264 BROADWAY,EL PILÓN RESTAURANTE,-74.16914,40.7598256,2141,1,O2,4,1,29892,266 BROADWAY,BROOKLYN,-2147483648,76,B,,0.9555555555555555,1
388 AVENUE X,385 AVENUE X,LAVASHUZN1,-73.9686915,40.5908405,7197,1,D1,2,1,74834,388 AVENUE X,BROOKLYN,-2147483648,87,A,,0.9555555555555555,1
2017 AMSTERDAM AVENUE,201 AMSTERDAM AVE,GOURMET SQUARE,-73.9828234,40.7768094,2109,46,C7,2,1,66190,2017 AMSTERDAM AVENUE,MANHATTAN,1021090046,1,D,,0.9555555555555555,1
579 BROADWAY,574 BROADWAY,LATINOS BBQ RESTAURANT,-74.1631514,40.7700824,512,20,K4,4,1,68800,579 BROADWAY,MANHATTAN,1005120020,99,A,,0.9555555555555555,1
580 BROADWAY,588 BROADWAY,"MANGIA SOHO - ITALIAN RESTAURANT, LUNCH & CORPORATE CATERING",-73.9970825,40.7248825,511,6,O6,4,1,127597,580 BROADWAY,MANHATTAN,1005110006,85,A,,0.9555555555555555,1
640 BROADWAY,643 BROADWAY,TUCCI - NEW YORK,-73.9959157,40.7267024,522,7502,R0,2,1,61182,640 BROADWAY,MANHATTAN,1005227502,11,D,,0.9555555555555555,1
115 BROADWAY,114 BROADWAY,EL EDEN,-74.1704737,40.7542395,50,1,O4,4,1,396607,115 BROADWAY,MANHATTAN,1000500001,60,C,,0.9555555555555555,1
277 BROADWAY,274 BROADWAY,EMPERADOR ELIAS RESTAURANT,-73.9587854,40.7085955,149,33,O6,4,1,93615,277 BROADWAY,MANHATTAN,1001490033,73,B,,0.9555555555555555,1
529 BROADWAY,527 BROADWAY,SUBWAY,-74.1175024,40.6651121,498,23,K2,4,1,44243,529 BROADWAY,MANHATTAN,1004980023,15,D,,0.9555555555555555,1
584 BROADWAY,588 BROADWAY,"MANGIA SOHO - ITALIAN RESTAURANT, LUNCH & CORPORATE CATERING",-73.9970825,40.7248825,511,8,O6,4,1,254822,584 BROADWAY,MANHATTAN,1005110008,85,A,,0.9555555555555555,1
874 BROADWAY,873 BROADWAY,FAJIRA,-73.9903416,40.7381401,847,24,D0,2,1,43073,874 BROADWAY,MANHATTAN,1008470024,82,B,,0.9555555555555555,1
504 BROADWAY,507 BROADWAY,PERU BROTHER’S BBQ,-74.1637788,40.7677095,483,7,K3,4,1,121992,504 BROADWAY,MANHATTAN,1004830007,0,F,,0.9555555555555555,1
265 BROADWAY,264 BROADWAY,EL PILÓN RESTAURANTE,-74.16914,40.7598256,135,31,O5,4,1,29000,265 BROADWAY,MANHATTAN,1001350031,0,F,,0.9555555555555555,1
524 BROADWAY,527 BROADWAY,SUBWAY,-74.1175024,40.6651121,483,17,O6,4,1,143637,524 BROADWAY,MANHATTAN,1004830017,78,B,,0.9555555555555555,1
648 BROADWAY,643 BROADWAY,TUCCI - NEW YORK,-73.9959157,40.7267024,529,3,O9,4,1,49310,648 BROADWAY,MANHATTAN,1005290003,73,B,,0.9555555555555555,1
195 BROADWAY,194 BROADWAY,LA BRANCHE BISTRO & CAFÉ,-74.1275218,40.6528733,2446,51,O9,4,1,45400,195 BROADWAY,BROOKLYN,-2147483648,98,A,,0.9555555555555555,1
136-32 ROOSEVELT AVENUE,136-20 ROOSEVELT AVE,XIANG HOTPOT & BBQ - FLUSHING,-73.829566,40.7591363,5019,24,K3,4,1,222988,136-32 ROOSEVELT AVENUE,QUEENS,-2147483648,58,C,,0.9552173913043478,1
103-12 ROOSEVELT AVENUE,103-18 ROOSEVELT AVE,SABOR GUATEMALTECO,-73.8620963,40.7496878,1975,9,K2,4,1,40000,103-12 ROOSEVELT AVENUE,QUEENS,-2147483648,9,D,,0.9552173913043478,1
136-31 ROOSEVELT AVENUE,136-21 ROOSEVELT AVE,YU KUN NOODLE,-73.8295279,40.7604066,4980,14,K2,4,1,28550,136-31 ROOSEVELT AVENUE,QUEENS,-2147483648,12,D,,0.9552173913043478,1
3555 VICTORY BOULEVARD,3555 VICTORY BLVD,FRANCESCO’S SUPPER CLUB,-74.1762664,40.6013223,2162,192,K6,4,1,43700,3555 VICTORY BOULEVARD,STATEN ISLAND,-2147483648,0,F,,0.9545454545454545,1
96-05 QUEENS BOULEVARD,96-05 QUEENS BLVD,M S HALAL FOOD,-73.8626874,40.7305345,2084,101,K3,4,1,860000,96-05 QUEENS BOULEVARD,QUEENS,-2147483648,98,A,,0.9545454545454545,1
2532 GRAND CONCOURSE,2230 GRAND CONCOURSE,CARIDAD RESTAURANT,-73.9004069,40.8561101,3154,17,O7,4,1,50000,2532 GRAND CONCOURSE,BRONX,2031540017,56,C,,0.9542105263157894,1
2028 GRAND CONCOURSE,2230 GRAND CONCOURSE,CARIDAD RESTAURANT,-73.9004069,40.8561101,2813,3,C1,2,1,34000,2028 GRAND CONCOURSE,BRONX,2028130003,39,D,,0.9542105263157894,1
