score_address,place_address,Facility_Name,Longitude,Latitude,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,h3,similarity,rank
3828 BROADWAY,3829 BROADWAY,LUPITA MEXICAN RESTAURANT,-73.943951,40.8358801,2118,7,D7,2,1,61218,3828 BROADWAY,MANHATTAN,1021180007,61,C,,0.9641025641025641,1
2028 BROADWAY,2020 BROADWAY,GUS BENETOS,-73.9820086,40.7764023,1141,51,D6,2,1,133485,2028 BROADWAY,MANHATTAN,1011410051,84,B,,0.9641025641025641,1
3621 BROADWAY,3628 BROADWAY,KANÜ BAR|GRILL,-73.9482181,40.8291911,2096,26,D7,2,1,65050,3621 BROADWAY,MANHATTAN,1020960026,71,B,,0.9641025641025641,1
3157 BROADWAY,3151 BROADWAY,FALAFEL ON BROADWAY,-73.9596011,40.8145156,1993,88,C7,0,2,32961,3157 BROADWAY,MANHATTAN,1019930088,1,D,,0.9641025641025641,1
3430 BROADWAY,3431 BROADWAY,TRUFA RESTAURANT,-73.9531479,40.8231468,2071,61,D7,2,1,72774,3430 BROADWAY,MANHATTAN,1020710061,7,D,,0.9641025641025641,1
1023 BROADWAY,1022 BROADWAY,2 CHIX,-73.9327947,40.6954921,3204,4,D1,2,1,25200,1023 BROADWAY,BROOKLYN,-2147483648,11,D,,0.9641025641025641,1
4730 BROADWAY,4736 BROADWAY,FITO,-73.9283033,40.8648502,2175,39,D7,2,1,57631,4730 BROADWAY,MANHATTAN,1021750039,4,D,,0.9641025641025641,1
1301 AVENUE J,1307 AVENUE J,SUSHI TA'EEM FLATBUSH,-73.9629229,40.625139,6706,48,O5,4,1,33753,1301 AVENUE J,BROOKLYN,-2147483648,54,D,,0.9641025641025641,1
1746 BROADWAY,1740 BROADWAY,SWEETGREEN,-73.9819014,40.7652837,1512,22,M1,4,1,38550,1746 BROADWAY,BROOKLYN,-2147483648,0,F,,0.9641025641025641,1
4420 BROADWAY,4421 BROADWAY,LEGACY BAR & GRILL,-73.9332584,40.8557665,2170,42,D1,2,1,53538,4420 BROADWAY,MANHATTAN,1021700042,87,A,,0.9641025641025641,1
1402 BROADWAY,1400 BROADWAY,I KNOW THE CHEF,-73.9873098,40.7523869,814,52,O4,4,1,367212,1402 BROADWAY,MANHATTAN,1008140052,77,B,,0.9641025641025641,1
2025 BROADWAY,2020 BROADWAY,GUS BENETOS,-73.9820086,40.7764023,1141,7502,R0,2,1,236544,2025 BROADWAY,MANHATTAN,1011417502,14,D,,0.9641025641025641,1
4960 BROADWAY,4961 BROADWAY,GARDEN CAFE,-73.9204777,40.8680518,2236,8,D7,2,1,44032,4960 BROADWAY,MANHATTAN,1022360008,3,D,,0.9641025641025641,1
1182 BROADWAY,1184 BROADWAY,L’ADRESSE NOMAD,-73.9885872,40.7455146,830,7501,R0,2,1,82014,1182 BROADWAY,MANHATTAN,1008307501,77,B,,0.9641025641025641,1
2039 BROADWAY,2030 BROADWAY,WONDER,-73.9818652,40.7767392,1162,29,D4,2,1,421205,2039 BROADWAY,MANHATTAN,1011620029,19,D,,0.9641025641025641,1
3661 BROADWAY,3660 BROADWAY,NEW DELI 1,-73.9474297,40.8302955,2098,29,D7,2,1,72360,3661 BROADWAY,MANHATTAN,1020980029,27,D,,0.9641025641025641,1
4925 BROADWAY,4927 BROADWAY,NAPA IN THE HEIGHTS,-73.9216577,40.8677908,2241,24,C7,2,1,48217,4925 BROADWAY,MANHATTAN,1022410024,0,F,,0.9641025641025641,1
1186 BROADWAY,1184 BROADWAY,L’ADRESSE NOMAD,-73.9885872,40.7455146,830,54,H3,4,1,185000,1186 BROADWAY,MANHATTAN,1008300054,6,D,,0.9641025641025641,1
1338 BROADWAY,1333 BROADWAY,BOTTOMLINE BAR & RESTAURANT CONSULTANTS,-73.98657,40.75202,1479,7,M9,4,1,74500,1338 BROADWAY,BROOKLYN,-2147483648,0,F,,0.9641025641025641,1
2170 BROADWAY,2175 BROADWAY,ALLURE RESTAURANT AND LOUNGE,-73.9811686,40.7824227,1168,44,HB,4,1,169664,2170 BROADWAY,MANHATTAN,1011680044,0,F,,0.9641025641025641,1
3926 BROADWAY,3920 BROADWAY,GRAN MAYA RESTAURANT,-73.9412975,40.8385576,2122,77,D7,2,1,100000,3926 BROADWAY,MANHATTAN,1021220077,5,D,,0.9641025641025641,1
4220 BROADWAY,4221 BROADWAY,TIERRA Y MAR,-73.9371438,40.849068,2163,25,C7,2,1,25642,4220 BROADWAY,MANHATTAN,1021630025,22,D,,0.9641025641025641,1
1181 BROADWAY,1184 BROADWAY,L’ADRESSE NOMAD,-73.9885872,40.7455146,829,57,O6,4,1,26899,1181 BROADWAY,MANHATTAN,1008290057,90,A,,0.9641025641025641,1
1195 BROADWAY,1191 BROADWAY,HASINI SHEL BROADWAY,-73.7028631,40.6364006,830,62,O6,4,1,107030,1195 BROADWAY,MANHATTAN,1008300062,85,A,,0.9641025641025641,1
2450 BROADWAY,2451 BROADWAY,BARZINI'S,-73.9745003,40.7913615,1238,46,D7,2,1,214011,2450 BROADWAY,MANHATTAN,1012380046,1,D,,0.9641025641025641,1
2670 BROADWAY,2672 BROADWAY,ABIGAIL'S,-73.9687981,40.7982465,1873,42,D7,2,1,45209,2670 BROADWAY,MANHATTAN,1018730042,1,D,,0.9641025641025641,1
3565 BROADWAY,3569 BROADWAY,MAMASUSHI HARLEM,-73.9500414,40.8274223,2093,29,D6,2,1,72099,3565 BROADWAY,MANHATTAN,1020930029,27,D,,0.9641025641025641,1
3820 BROADWAY,3829 BROADWAY,LUPITA MEXICAN RESTAURANT,-73.943951,40.8358801,2118,1,D7,2,1,44590,3820 BROADWAY,MANHATTAN,1021180001,57,C,,0.9641025641025641,1
4966 BROADWAY,4961 BROADWAY,GARDEN CAFE,-73.9204777,40.8680518,2236,14,C7,2,1,41720,4966 BROADWAY,MANHATTAN,1022360014,69,C,,0.9641025641025641,1
136-12 ROOSEVELT AVENUE,136-21 ROOSEVELT AVE,YU KUN NOODLE,-73.8295279,40.7604066,5019,11,K4,4,1,50800,136-12 ROOSEVELT AVENUE,QUEENS,-2147483648,27,D,,0.9639130434782608,1
79 AVENUE D,79 AVENUE C,NICK'S LUNCHEONETTE,-74.1736544,40.7174393,376,7501,R0,2,1,121049,79 AVENUE D,MANHATTAN,1003767501,88,A,,0.9636363636363636,1
160 CENTRAL PARK SOUTH,160 CENTRAL PARK S,BOURBON STEAK BY MICHAEL MINA,-73.9785692,40.7662819,1011,7501,R0,2,1,654775,160 CENTRAL PARK SOUTH,MANHATTAN,1010117501,16,D,,0.9636363636363636,1
1211 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,THE PLAZA AT THE ROXY,-74.0049093,40.7194085,1000,29,O4,4,1,1984228,1211 AVENUE OF THE AMERICAS,MANHATTAN,1010000029,83,B,,0.9629629629629629,1
1221 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,THE PLAZA AT THE ROXY,-74.0049093,40.7194085,1001,29,O4,4,1,2636182,1221 AVENUE OF THE AMERICAS,MANHATTAN,1010010029,59,C,,0.9629629629629629,1
1251 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,ROXY BAR,-74.0049591,40.719193,1002,7501,R0,2,1,2200404,1251 AVENUE OF THE AMERICAS,MANHATTAN,1010027501,63,C,,0.9629629629629629,1
1290 AVENUE OF THE AMERICAS,2 AVENUE OF THE AMERICAS,THE PLAZA AT THE ROXY,-74.0049093,40.7194085,1267,1,O4,4,1,1899211,1290 AVENUE OF THE AMERICAS,MANHATTAN,1012670001,55,C,,0.9629629629629629,1
